признак,mean_human,mean_ai,r_pb,cliff_d,p,p_fdr,эффект
avg_links_len,2.449951093613883,2.082782638936121,-0.41691599183768635,-0.541936574074074,1.9558198749276123e-174,5.997847616444678e-173,большой
upos_dist_CCONJ,3.504855000630264,5.1243442701215605,0.34062147351266353,0.45964444444444447,4.735303339249314e-126,7.260798453515616e-125,средний
max_links_len,19.60333333333333,12.362222222222222,-0.41335944100369115,-0.45203171296296296,1.4845499598081497e-122,1.951122804319282e-121,средний
dep_dist_cc,3.6311667213739627,5.205396624968541,0.3283747399931817,0.44369467592592593,1.370893961422079e-117,1.576528055635391e-116,средний
dep_dist_obj,1.814210955197098,3.2096558945210316,0.30375648442044845,0.4232215277777778,2.1927180579947028e-107,2.2414451259501407e-106,средний
upos_dist_NUM,1.2969565449203804,0.19595025400558497,-0.3678571831468998,-0.4213884259259259,1.1058830312120527e-200,1.0174123887150885e-198,средний
verbs_tense_dist_Past,44.104855050511986,27.263706378760556,-0.31665534099810005,-0.39774050925925925,3.7109979288140676e-95,3.414118094508942e-94,средний
subj_pre,46.72306538423097,66.8563011063011,0.29911105300048557,0.3944388888888889,2.4094554389741243e-94,2.0151809125965403e-93,средний
verb_edges_dist_2,32.28361635450721,43.7897054980098,0.2702561753284577,0.38207291666666665,6.598248994902576e-88,5.058657562758641e-87,средний
verbs_person_dist_3,33.374225239724574,46.756775959559114,0.27053492878195945,0.3720354166666667,2.240168513478038e-83,1.5853500249229194e-82,средний
n_tokens,147.17166666666665,82.73388888888888,-0.480454989171045,-0.37151388888888887,4.991939929246328e-83,3.280417667790444e-82,средний
verbs_verbform_dist_Part,50.581759776949845,35.22186370381997,-0.294515710569328,-0.368287037037037,9.775760897667368e-82,5.995800017235986e-81,средний
verbs_voice_dist_Act,37.636163000218026,51.3882734790436,0.2613804580739916,0.35208796296296296,7.214813862047921e-75,3.3188143765420435e-74,средний
dep_dist_nummod,0.803869105025313,0.08752807822142161,-0.3434588486116276,-0.3387118055555556,1.92647550765758e-185,8.861787335224868e-184,средний
dep_dist_punct,13.369030632921628,11.331715448282585,-0.269235767376532,-0.32938425925925924,1.1708611596861757e-65,4.896328485960371e-65,малый
upos_dist_PUNCT,13.33876929894113,11.326338522975922,-0.26719956207279416,-0.3271986111111111,8.176890443265442e-65,3.1344746699184195e-64,малый
subordinate_pre,12.114426821433268,3.4468257051590383,-0.27000254744957786,-0.3237375,2.710277757346419e-126,4.986911073517411e-125,малый
verbs_tense_dist_Pres,47.53638520661831,60.30844619621387,0.24572033522446243,0.3219949074074074,6.496566845468667e-63,2.3907365991324695e-62,малый
upos_dist_NOUN,37.751413904308805,41.067236811060475,0.25021557034271363,0.31565949074074073,1.8959883297942633e-60,6.708881782348932e-60,малый
verbs_voice_dist_Mid,9.810310472466757,4.468616350253348,-0.25173381131770733,-0.3140247685185185,8.880549529976105e-77,4.5389475375433423e-76,малый
verbs_aspect_dist_Imp,56.24467953132368,67.8934929058252,0.24122352939087044,0.30761875,1.3637256820262712e-57,4.646768990608035e-57,малый
verbs_aspect_dist_Perf,43.64961730174127,32.091300657093356,-0.2392566151243237,-0.3047048611111111,1.5365180053259116e-56,5.0485591603565665e-56,малый
n_sentences,6.098333333333334,3.9030555555555555,-0.41301342867253443,-0.2848178240740741,1.409392419691884e-53,4.471175952125976e-53,малый
dep_dist_appos,1.1962497895452724,0.5242390268378764,-0.20126432999028088,-0.26895578703703704,2.5677683555427005e-65,1.0271073422170802e-64,малый
avg_max_links_len,10.348794852168172,8.233381613756615,-0.2815780527814369,-0.2684696759259259,3.09583001707878e-44,8.630798835492357e-44,малый
dep_dist_iobj,0.5446253547539616,1.0262140362824936,0.20072475276169807,0.25668541666666667,2.17002282566609e-44,6.238815623790009e-44,малый
tokens_per_sent,25.065206578312637,21.479591931216927,-0.2719866741977115,-0.25632060185185185,1.8146097416474357e-40,4.76983132090183e-40,малый
dep_dist_root,4.405750756266828,4.813707185581915,0.1674507796097579,0.25632060185185185,1.8146097416474357e-40,4.76983132090183e-40,малый
