признак,mean_human,mean_ai,r_pb,cliff_d,p,p_fdr,эффект
upos_dist_PRON,2.0192820792333612,1.484311316389001,-0.20101646979713722,-0.24342044444444444,7.6654697967475805e-31,3.0661879186990322e-30,малый
verb_edges_dist_1,15.779024719238611,19.649373963540004,0.1945376800789088,0.22794444444444445,2.958237015751831e-27,1.133990856038202e-26,малый
dep_dist_amod,8.932826153838773,9.901595470886896,0.18517046482277177,0.21181511111111112,9.607007633497622e-24,3.3994027010837743e-23,малый
dep_dist_acl:relcl,0.7140501566277954,0.49369987868997367,-0.18622583528543607,-0.20470488888888888,6.980566470995374e-23,2.3785633901169423e-22,малый
dep_dist_parataxis,0.22952690128404948,0.08372775224004346,-0.21390493862377147,-0.20284,1.8398930532897672e-37,1.0579385056416161e-36,малый
verbal_head_per_sent,2.615718614160925,2.8273580586080582,0.141313220066826,0.19884355555555555,3.936496251462481e-21,1.2934201969091009e-20,малый
upos_dist_PUNCT,15.900485456361595,17.38457324525693,0.15811659063949118,0.1965088888888889,1.1670521083397019e-20,3.70237220576733e-20,малый
dep_dist_punct,15.90853348079198,17.39112621968746,0.15796508669930692,0.19624977777777777,1.3102593406145242e-20,4.0181286445512077e-20,малый
dep_dist_aux,1.3430868313965614,1.0765997612437035,-0.15347730716445968,-0.1691728888888889,9.611545909051175e-16,2.8524587859119615e-15,малый
verbs_mood_dist_Ind,39.57955921751051,36.54678192313991,-0.14393651683763697,-0.158012,6.624579248177075e-14,1.9045665338509091e-13,малый
upos_dist_DET,7.68079271259829,6.9643954034818405,-0.1342374975781372,-0.1572071111111111,8.936939777382408e-14,2.4915104833914594e-13,малый
verb_edges_dist_6,7.268395766849285,5.336618430510589,-0.13791015282183444,-0.15231111111111112,1.3840071519354274e-13,3.744960528766451e-13,малый
dep_dist_det,7.577996404018595,6.9213593300408744,-0.12445199124568407,-0.14556711111111112,5.066845612352228e-12,1.331856560961157e-11,нет
verbs_tense_dist_Pres,39.83499717557162,42.644030879699905,0.1092517496036978,0.1450311111111111,6.027271255801763e-12,1.5403026542604505e-11,нет
