задача,признаки,модель,accuracy,macro_F1,AUC
en: human / ai / hybrid,Profiling-UD,RF,0.5706666666666667,0.5584605619248041,0.757167
en: human / ai / hybrid,Profiling-UD,XGBoost,0.5944444444444444,0.5871337331523917,0.7755941481481482
en: human / ai / hybrid,"Profiling-UD, информативные",LogReg,0.5702222222222222,0.5610316301699202,0.7505959999999999
en: human / ai / hybrid,"Profiling-UD, информативные",SVM,0.5615555555555556,0.5535643284625387,0.743255111111111
en: human / ai / hybrid,"Profiling-UD, информативные",RF,0.558,0.5517549181960352,0.7413627407407407
en: human / ai / hybrid,"Profiling-UD, информативные",XGBoost,0.5624444444444444,0.557431068434974,0.7455381851851852
en: human / ai / hybrid,LM и лексика,LogReg,0.5004444444444445,0.4856300499394422,0.6740127407407407
en: human / ai / hybrid,LM и лексика,SVM,0.49422222222222223,0.4771175161374431,0.6680670370370371
en: human / ai / hybrid,LM и лексика,RF,0.4637777777777778,0.4567189955171092,0.6459135555555555
en: human / ai / hybrid,LM и лексика,XGBoost,0.46244444444444444,0.45413255449189754,0.6489064074074073
en: human / ai / hybrid,Profiling-UD + LM и лексика,LogReg,0.6384444444444445,0.6339021522379483,0.8087392592592592
en: human / ai / hybrid,Profiling-UD + LM и лексика,SVM,0.6337777777777778,0.6265375200932511,0.8081502222222222
en: human / ai / hybrid,Profiling-UD + LM и лексика,RF,0.586,0.5735440676702547,0.7717633703703703
en: human / ai / hybrid,Profiling-UD + LM и лексика,XGBoost,0.6208888888888889,0.6129444183319994,0.8001914814814816
en: human / ai / hybrid,только длина,LogReg,0.3446666666666667,0.31544762752095873,0.506960962962963
en: human / ai / hybrid,только длина,SVM,0.3844444444444444,0.32508127884855514,0.5470974074074074
en: human / ai / hybrid,только длина,RF,0.36822222222222223,0.3681577884984432,0.5333760740740741
en: human / ai / hybrid,только длина,XGBoost,0.34644444444444444,0.346469437784579,0.5165043333333333
en: human / ai / hybrid,TF-IDF слов,LogReg,0.7006666666666667,0.670559188474106,0.874836962962963
ru: human vs ai,Profiling-UD,LogReg,0.93375,0.9089258186950759,0.9631319444444444
ru: human vs ai,Profiling-UD,SVM,0.9397916666666667,0.9181781713965587,0.9786675925925926
ru: human vs ai,Profiling-UD,RF,0.9247916666666667,0.8920679874510349,0.9722984953703705
ru: human vs ai,Profiling-UD,XGBoost,0.9389583333333333,0.9153989695926548,0.9793129629629629
ru: human vs ai,"Profiling-UD, информативные",LogReg,0.9170833333333334,0.8832483934431359,0.938119212962963
ru: human vs ai,"Profiling-UD, информативные",SVM,0.9239583333333333,0.8946738071252569,0.9615188657407406
ru: human vs ai,"Profiling-UD, информативные",RF,0.9204166666666667,0.8873710073710074,0.9657667824074073
ru: human vs ai,"Profiling-UD, информативные",XGBoost,0.9272916666666666,0.899352079008618,0.9664840277777778
ru: human vs ai,LM и лексика,LogReg,0.8539583333333334,0.7743531816650694,0.8239240740740741
ru: human vs ai,LM и лексика,SVM,0.87125,0.8032410570327659,0.8758219907407407
ru: human vs ai,LM и лексика,RF,0.8608333333333333,0.7870028705189493,0.8678467592592594
ru: human vs ai,LM и лексика,XGBoost,0.8629166666666667,0.7943216521785338,0.8751881944444445
ru: human vs ai,Profiling-UD + LM и лексика,LogReg,0.9397916666666667,0.9175998411397168,0.9698756944444444
ru: human vs ai,Profiling-UD + LM и лексика,SVM,0.9475,0.9289627909730125,0.9817756944444443
